"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","PC1","PC1_category"
"ts39604","The Hospital","SHOW","When the President's only daughter, Liu Xinping, checks into a hospital for her chemotherapy treatment, the head of internal medicine and the head of surgery become core members of the President's medical team. Both men plan to use this opportunity to prove themselves as the best candidate for the position of hospital director. As a result, the two men appoint rival surgeons to attend to Xiuping's surgery.",2006,"TV-14",48,"['drama']","['TW']",1,"tt2823414",7.4,40,23.073,2.3,2.13536509706677,"High"
"ts23797","Black & White","SHOW","Pi Zi and Ying Xiong are two cops who are as different as day and night. One lives a luxurious lifestyle and does nothing but drink coffee and wait for information from dubious sources to crack his cases. Another believes law and justice are the pillars of society and is constantly on the street catching criminals. When a case brings these two top crime solvers together, sparks fly and light begins to creep into the dark corners of Taipei.",2009,"TV-14",37,"['action', 'comedy', 'sport', 'crime']","['TW']",3,"tt1508870",7.6,302,9.613,9.2,-1.81140067692358,"Low"
"ts70843","The Prince Who Turns into a Frog","SHOW","The Prince Who Turns Into a Frog is a 2005 Taiwanese drama starring Ming Dow and Sam Wang of boyband 183 Club; and Joe Chen and Joyce Zhao of girl group 7 Flowers, as well as all the members of the former and two members of the latter, who are signed by Jungiery Entertainment. It was produced by Sanlih E-Television and directed by Chen Ming Zhang and Liu Jun Jie.

The series was first broadcast in Taiwan on free-to-air Taiwan Television from 5 June 2005 to 16 October 2005, every Sunday at 21:30 and cable TV Sanlih E-Television from 11 June 2005 to 22 October 2005, every Saturday at 21:00.

Episode seven was broadcast on 17 July 2005, it achieved an average rating of 7.05 and peaked at 8.05, which broke the previous average record of 6.43 held by Meteor Garden and was the highest peak for a single episode for a Taiwanese drama until it was broken by episode 13 of Fated To Love You which peaked at 8.13 in 2008.",2005,"TV-14",44,"['drama', 'romance', 'comedy']","['TW']",1,"tt1454440",6.8,128,1.448,5,1.02176673321484,"High"
"ts13411","Cocaine","SHOW","A three-part documentary series investigating the cocaine trafficking, distribution, usage and state control.",2005,"TV-14",44,"['documentation', 'european']","['US']",1,"tt0907286",7.1,60,0.84,7,-0.268455629826971,"Medium"
"ts188031","Pink Zone","SHOW","Is the story of four friends: Natalia, Angélica, Vicky and Sara. The four of them live together and try to live together despite having their differences. They all support Natalia's dream. Natalia is a 25-year-old young woman, recently graduated from her cooking studies, who dreams of setting up her own restaurant, and wants her friends to be her partners and that her best friend Andrés also be the administrator. However, despite her dreams, Natalia has had very bad luck in her relationships. Her last boyfriend Federico was cheating on her and leaves her to marry another woman. However, she does not suspect that her best friend Andrés is secretly in love with her and tries to win her over and change her perception of men.",2007,"",15,"['drama', 'romance', 'comedy']","['US']",1,"tt11194518",6.1,47,0.899,10,-1.38090675948297,"Low"
"ts8175","Call the Midwife","SHOW","Drama following the lives of a group of midwives working in the poverty-stricken East End of London during the 1950s, based on the best-selling memoirs of Jennifer Worth.",2012,"TV-PG",56,"['drama', 'history', 'european']","['GB']",11,"tt1983079",8.5,25562,24.955,7.4,-1.45508502149474,"Low"
"ts20564","New Girl","SHOW","Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home.",2011,"TV-14",21,"['comedy', 'romance']","['US']",7,"tt1826940",7.7,216209,65.381,7.3,-1.79701711621276,"Low"
"ts278","Black Mirror","SHOW","A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. 

Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",2011,"TV-MA",59,"['scifi', 'thriller', 'drama', 'european']","['GB']",5,"tt2085059",8.8,515577,74.102,8.3,-4.17593484799279,"Low"
"ts21580","Longmire","SHOW","A Wyoming sheriff rebuilds his life and career following the death of his wife. Based on the “Walt Longmire” series of mystery novels written by best-selling author Craig Johnson.",2012,"TV-14",53,"['western', 'action', 'crime', 'drama']","['US']",6,"tt1836037",8.3,34362,32.776,7.8,-1.62099990399385,"Low"
"ts20660","Shameless","SHOW","Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011,"TV-MA",54,"['drama', 'comedy']","['US']",11,"tt1586680",8.6,230243,175.426,8.1,-3.11171051791909,"Low"
"ts21806","Happy Endings","SHOW","A fresh and funny take on modern friendship and what one urban family will do to stay friends after the perfect couple who brought them all together break up on their wedding day. The failed wedding forces them all to question their life choices. Then there are Alex and Dave themselves, who strike a truce and must learn to live with the changes their breakup has brought.",2011,"TV-14",21,"['comedy', 'romance']","['US']",3,"tt2311579",7.8,37778,19.134,7.1,-0.920058593503647,"Low"
"ts27680","Last Tango in Halifax","SHOW","Celia and Alan are both widowed and in their seventies. When their respective grandsons put their details on Facebook, they rediscover a passionate relationship that started over sixty years ago.",2012,"TV-14",59,"['comedy', 'drama', 'romance', 'european']","['GB']",5,"tt2216156",8.3,6844,5.554,7.2,-1.10332879987002,"Low"
